section,domain_name,C_Side___Domain
section,workstream,Customer Operations

PHYSICAL_TABLES
domain_table_alias,physical_table
CI_ACCT,CI_ACCT
CI_ACCT_PER,CI_ACCT_PER
CI_SA,CI_SA
CI_SA_TYPE,CI_SA_TYPE
CI_SA_TYPE_L,CI_SA_TYPE_L
CI_LOOKUP_VAL_L,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_1,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_2,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_3,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_4,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_5,CI_LOOKUP_VAL_L
CI_LOOKUP_VAL_L_6,CI_LOOKUP_VAL_L
CI_BILL_CYC_L,CI_BILL_CYC_L
CI_CIS_DIVISION_L,CI_CIS_DIVISION_L
CI_COLL_CL_L,CI_COLL_CL_L
CI_CUST_CL_L,CI_CUST_CL_L
CI_BUD_PLAN_L,CI_BUD_PLAN_L
SC_USER,SC_USER
CI_NB_RULE_L,CI_NB_RULE_L
CI_PROP_DCL_RSN_L,CI_PROP_DCL_RSN_L
CI_SIC_L,CI_SIC_L
CI_SS_OPT_L,CI_SS_OPT_L
CI_DEBT_CL_L,CI_DEBT_CL_L
CI_DEP_CL_L,CI_DEP_CL_L
CI_REV_CL_L,CI_REV_CL_L
CI_SVC_TYPE_L,CI_SVC_TYPE_L
CI_WO_DEBT_CL_L,CI_WO_DEBT_CL_L
CI_PER,CI_PER
CI_PER_NAME,CI_PER_NAME
JoinTree_1,CI_SA

JOIN_TREE
join_tree,join_sequence,join_type,left_table,right_table,join_expression
JoinTree_1,1,inner,CI_SA,CI_SA_TYPE,CI_SA.CIS_DIVISION == CI_SA_TYPE.CIS_DIVISION and CI_SA.SA_TYPE_CD == CI_SA_TYPE.SA_TYPE_CD
JoinTree_1,2,inner,CI_SA_TYPE,CI_SA_TYPE_L,CI_SA_TYPE.CIS_DIVISION == CI_SA_TYPE_L.CIS_DIVISION and CI_SA_TYPE.SA_TYPE_CD == CI_SA_TYPE_L.SA_TYPE_CD and CI_SA_TYPE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,3,inner,CI_SA,CI_ACCT,CI_SA.ACCT_ID == CI_ACCT.ACCT_ID
JoinTree_1,4,inner,CI_SA,CI_ACCT_PER,CI_SA.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
JoinTree_1,5,leftOuter,CI_ACCT,CI_BILL_CYC_L,CI_ACCT.BILL_CYC_CD == CI_BILL_CYC_L.BILL_CYC_CD and CI_BILL_CYC_L.LANGUAGE_CD == 'ENG'
JoinTree_1,6,inner,CI_ACCT,CI_COLL_CL_L,CI_ACCT.COLL_CL_CD == CI_COLL_CL_L.COLL_CL_CD and CI_COLL_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,7,inner,CI_ACCT,CI_CUST_CL_L,CI_ACCT.CUST_CL_CD == CI_CUST_CL_L.CUST_CL_CD and CI_CUST_CL_L.LANGUAGE_CD == 'ENG'
JoinTree_1,8,leftOuter,CI_ACCT,CI_BUD_PLAN_L,CI_ACCT.BUD_PLAN_CD == CI_BUD_PLAN_L.BUD_PLAN_CD and CI_BUD_PLAN_L.LANGUAGE_CD == 'ENG'
JoinTree_1,9,leftOuter,CI_ACCT,SC_USER,CI_ACCT.BILL_PRT_INTERCEPT == SC_USER.USER_ID
JoinTree_1,10,inner,CI_SA,CI_CIS_DIVISION_L,CI_SA.CIS_DIVISION == CI_CIS_DIVISION_L.CIS_DIVISION and CI_CIS_DIVISION_L.LANGUAGE_CD == 'ENG'
JoinTree_1,11,leftOuter,CI_SA,CI_NB_RULE_L,CI_SA.NB_RULE_CD == CI_NB_RULE_L.NB_RULE_CD and CI_NB_RULE_L.LANGUAGE_CD == 'ENG'
JoinTree_1,12,leftOuter,CI_SA,CI_PROP_DCL_RSN_L,CI_SA.PROP_DCL_RSN_CD == CI_PROP_DCL_RSN_L.PROP_DCL_RSN_CD and CI_PROP_DCL_RSN_L.LANGUAGE_CD == 'ENG'
JoinTree_1,13,leftOuter,CI_SA,CI_LOOKUP_VAL_L,CI_SA.PROP_SA_STAT_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'PROP_SA_STAT_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
